14;78;M;Masculino;1
15;78;F;Femenino;2
16;78;I;Intersexual;3
17;78;NS;No sabe;4
18;78;NR;No quiere responder;5
19;78;NA;No aplica;6
20;76;Sí;Sí;1
21;76;No;No;2
22;80;Asexual;Asexual;1
23;80;Bisexual;Bisexual;2
24;80;Gay;Gay;3
25;80;Heterosexual;Heterosexual;4
26;80;Lesbiana;Lesbiana;5
27;80;Otro;Otro;6
28;80;Pansexual;Pansexual;7
29;81;Hombre Cis;Hombre Cis;1
30;81;Hombre trans;Hombre trans;2
31;81;Mujer Cis;Mujer Cis;3
32;81;Mujer trans;Mujer trans;4
33;81;No binario;No binario;5
34;81;Otro;Otro;6
35;81;Queer;Queer;7
36;81;Se desconoce;Se desconoce;8
37;82;Atlántida;Atlántida;1
38;82;Choluteca;Choluteca;2
39;82;Colón;Colón;3
40;82;Comayagua;Comayagua;4
41;82;Copán;Copán;5
42;82;Cortés;Cortés;6
43;82;El Paraíso;El Paraíso;7
44;82;Francisco Morazán;Francisco Morazán;8
45;82;Gracias a Dios;Gracias a Dios;9
46;82;Intibucá;Intibucá;10
47;82;Islas de la Bahía;Islas de la Bahía;11
48;82;La Paz;La Paz;12
49;82;Lempira;Lempira;13
50;82;Ocotepeque;Ocotepeque;14
51;82;Olancho;Olancho;15
52;82;Santa Bárbara;Santa Bárbara;16
53;82;Valle;Valle;17
54;82;Yoro;Yoro;18
55;99;Sí;Sí;1
56;99;No;No;2
57;83;Pos-Grado;Pos-Grado;1
58;83;Primaria;Primaria;2
59;83;Secudaria;Secudaria;3
60;83;Superior (universitaria);Superior (universitaria);4
61;84;Sí;Sí;1
62;84;No;No;2
63;85;Formal;Formal;1
64;85;Ambos;Ambos;2
65;85;No Formal;No Formal;3
66;88;Sí;Sí;1
67;88;No;No;2
68;90;Acoso sexual;Acoso sexual;1
69;90;Bullying;Bullying;2
70;90;Comentarios LGTBIfóbicos;Comentarios LGTBIfóbicos;3
71;90;Discriminación;Discriminación;4
72;90;Exclusión;Exclusión;5
73;90;Irrespeto a la identidad de género;Irrespeto a la identidad de género;6
74;90;Otros;Otros;7
75;90;Violencia física;Violencia física;8
76;91;Sí;Sí;1
77;91;No;No;2
78;92;Acuerdo o conciliación;Acuerdo o conciliación;1
79;92;Denuncia sin resultado;Denuncia sin resultado;2
80;92;Denuncia validada;Denuncia validada;3
81;92;En proceso;En proceso;4
82;92;Medidas de protección;Medidas de protección;5
83;92;Ninguna respuesta;Ninguna respuesta;6
84;92;Regular / Parcial;Regular / Parcial;7
85;92;Resolución favorable;Resolución favorable;8
86;92;Sin seguimiento institucional;Sin seguimiento institucional;9
87;94;Sí;Sí;1
88;94;No;No;2
89;96;Sí;Sí;1
90;96;No;No;2
91;96;Tal vez;Tal vez;3
92;98;Sí;Sí;1
93;98;No;No;2
94;98;Medianamente;Medianamente;3
95;99;Sí;Sí;1
96;99;No;No;2
97;101;Sí;Sí;1
98;101;No;No;2
99;103;Sí;Sí;1
100;103;No;No;2
101;104;Sí;Sí;1
102;104;No;No;2
103;106;Sí;Sí;1
104;106;No;No;2
105;108;Sí;Sí;1
106;108;No;No;2
107;110;Sí;Sí;1
108;110;No;No;2
109;112;Sí;Sí;1
110;112;No;No;2
111;112;Prefiero no decirlo;Prefiero no decirlo;3
112;113;Sí;Sí;1
113;113;No;No;2
114;113;No sé qué es atención médica reproductiva;No sé qué es atención médica reproductiva;3
115;114;Sí;Sí;1
116;114;No;No;2
117;116;Sí;Sí;1
118;116;No;No;2
119;119;Sí;Sí;1
120;119;No;No;2
121;120;Regular;Regular;2
122;120;Mal;Mal;3
123;120;Bien;Bien;1
124;121;Sí;Sí;1
125;121;No;No;2
126;123;Poco;Poco;3
127;123;Nada;Nada;4
128;123;Regular;Regular;2
129;123;Mucha;Mucha;1
130;124;Sí;Sí;1
131;124;No;No;2
132;124;Prefiero no decirlo;Prefiero no decirlo;3
133;126;Sí;Sí;1
134;126;No;No;2
135;80;NS;No sabe;100
136;81;NS;No sabe;100
137;82;NS;No sabe;100
138;99;NS;No sabe;100
139;83;NS;No sabe;100
140;84;NS;No sabe;100
141;85;NS;No sabe;100
142;88;NS;No sabe;100
143;90;NS;No sabe;100
144;91;NS;No sabe;100
145;92;NS;No sabe;100
146;94;NS;No sabe;100
147;96;NS;No sabe;100
148;98;NS;No sabe;100
149;101;NS;No sabe;100
150;103;NS;No sabe;100
151;104;NS;No sabe;100
152;106;NS;No sabe;100
153;108;NS;No sabe;100
154;110;NS;No sabe;100
155;112;NS;No sabe;100
156;113;NS;No sabe;100
157;114;NS;No sabe;100
158;116;NS;No sabe;100
159;119;NS;No sabe;100
160;120;NS;No sabe;100
161;121;NS;No sabe;100
162;123;NS;No sabe;100
163;124;NS;No sabe;100
164;126;NS;No sabe;100
165;80;NR;No quiere responder;101
166;81;NR;No quiere responder;101
167;82;NR;No quiere responder;101
168;99;NR;No quiere responder;101
169;83;NR;No quiere responder;101
170;84;NR;No quiere responder;101
171;85;NR;No quiere responder;101
172;88;NR;No quiere responder;101
173;90;NR;No quiere responder;101
174;91;NR;No quiere responder;101
175;92;NR;No quiere responder;101
176;94;NR;No quiere responder;101
177;96;NR;No quiere responder;101
178;98;NR;No quiere responder;101
179;101;NR;No quiere responder;101
180;103;NR;No quiere responder;101
181;104;NR;No quiere responder;101
182;106;NR;No quiere responder;101
183;108;NR;No quiere responder;101
184;110;NR;No quiere responder;101
185;112;NR;No quiere responder;101
186;113;NR;No quiere responder;101
187;114;NR;No quiere responder;101
188;116;NR;No quiere responder;101
189;119;NR;No quiere responder;101
190;120;NR;No quiere responder;101
191;121;NR;No quiere responder;101
192;123;NR;No quiere responder;101
193;124;NR;No quiere responder;101
194;126;NR;No quiere responder;101
195;80;NA;No aplica;102
196;81;NA;No aplica;102
197;82;NA;No aplica;102
198;99;NA;No aplica;102
199;83;NA;No aplica;102
200;84;NA;No aplica;102
201;85;NA;No aplica;102
202;88;NA;No aplica;102
203;90;NA;No aplica;102
204;91;NA;No aplica;102
205;92;NA;No aplica;102
206;94;NA;No aplica;102
207;96;NA;No aplica;102
208;98;NA;No aplica;102
209;101;NA;No aplica;102
210;103;NA;No aplica;102
211;104;NA;No aplica;102
212;106;NA;No aplica;102
213;108;NA;No aplica;102
214;110;NA;No aplica;102
215;112;NA;No aplica;102
216;113;NA;No aplica;102
217;114;NA;No aplica;102
218;116;NA;No aplica;102
219;119;NA;No aplica;102
220;120;NA;No aplica;102
221;121;NA;No aplica;102
222;123;NA;No aplica;102
223;124;NA;No aplica;102
224;126;NA;No aplica;102
